"Probe","Entrez","Symbol","pVal","logFC","CI.L","CI.R","AveExpr","IQR","Z"
"234303_s_at","54329","GPR85",0.000152656212834942,1.24078156949138,0.826239502460182,1.65532363652259,7.33006400598149,0.521630113855853,5.86655027225511
"203821_at","1839","HBEGF",0.000157676972026697,-0.640524632619595,-0.855569308003699,-0.42547995723549,6.74872265651186,0.594671867678197,-5.83798821194716
"219719_at","51751","HIGD1B",0.000158461349184523,1.40831078505206,0.935141430423123,1.881480139681,7.80926284176248,1.31214412929333,5.83361773474672
"239345_at","80704","SLC19A3",0.00016303983505911,0.654777343312107,0.433834554368993,0.87572013225522,4.29082043380838,0.512734072315657,5.8085787684257
"208948_s_at","6780","STAU1",0.000168433851086036,0.51272959582258,0.33886481343946,0.6865943782057,9.55729196100243,0.247824796942586,5.78006652087711
"227678_at","91419","ATP23",0.000185957216397237,0.824899681083555,0.540951824086795,1.10884753808032,4.3216644390987,0.471958948316166,5.6940150632734
"223085_at","25897","RNF19A",0.00018758035196869,1.21404172098907,0.79559108412807,1.63249235785008,9.11432050776609,0.811948247611866,5.68650532112578
"209506_s_at","7025","NR2F1",0.000187860490447073,0.490535137234882,0.321421284953287,0.659648989516477,8.25105879944957,0.546399892832007,5.68521653317577
"219564_at","3773","KCNJ16",0.000195821522525631,1.09479365786799,0.714970563989707,1.47461675174627,7.64237948403637,0.856127440900548,5.64946050939416
"225619_at","122060","SLAIN1",0.000213082979567723,-0.807066522659307,-1.09069456717018,-0.523438478148434,9.3026216730175,1.08345132927213,-5.57720019238648
"1564158_a_at","100130894","VAC14-AS1",0.000223915351879859,1.16699308619003,0.75375682119264,1.58022935118742,4.71982990991533,1.50615920323857,5.53510580429553
"235044_at","116159","CYYR1",0.000233518461908718,1.10569391602901,0.711639102233215,1.49974872982481,4.44103610473126,1.44002509821834,5.49964116550521
"203755_at","701","BUB1B",0.000250543691023758,0.341621888720155,0.218550735742117,0.464693041698194,3.82780996201782,0.28002131586369,5.44058364360158
"225913_at","79834","PEAK1",0.000250764708985362,0.525354202548565,0.336066836327132,0.714641568769998,9.36750822080566,0.445069063299442,5.43984660756823
"238245_at","339221","ENPP7",0.0002518011615578,-0.80692555289353,-1.09784860960201,-0.516002496185055,5.15792973920457,0.667201270393292,-5.436399925002
"227517_s_at","60674","GAS5",0.000263482459309534,-1.59708875021778,-2.17692192415413,-1.01725557628142,5.2594702491426,1.95742857849704,-5.39861134397675
"1558795_at","101928307","LOC101928307",0.000263921013902296,-2.31347459991846,-3.15361129183521,-1.47333790800172,6.13387257173392,2.26514128429201,-5.3972291169608
"226050_at","55002","TMCO3",0.000268431371039358,0.269206764975516,0.171189008380442,0.36722452157059,7.98363400015054,0.470008340707027,5.38315992613249
"225990_at","91653","BOC",0.000271096058231601,0.649852766899283,0.412881916670511,0.886823617128054,7.07614446678362,0.611271399236921,5.37497089575766
"203367_at","11072","DUSP14",0.000274230493558565,0.52626740374764,0.334021884247709,0.718512923247572,6.74716489805437,0.295778545165136,5.36545202212498
"211719_x_at","2335","FN1",0.000282226408524227,1.21103790927158,0.766679159099218,1.65539665944394,8.75674333686218,0.609850164185271,5.34170712572127
"209687_at","6387","CXCL12",0.000282968174173307,2.22743255865255,1.40980296960726,3.04506214769785,6.19114469458767,1.54979922825044,5.33954234711183
"218421_at","64781","CERK",0.000292488980476685,0.817210110005423,0.515696522816845,1.118723697194,7.34947941193305,0.453140725203441,5.31230393477707
"220449_at","79015","LINC01260",0.000296477271626955,-0.289134631008802,-0.396035986622037,-0.182233275395566,5.23858214080248,0.242967246298378,-5.30118513022007
"212480_at","23384","SPECC1L",0.000303909157225152,0.726134265540807,0.456630496301812,0.995638034779802,7.05907748735537,0.4353551037995,5.28090261772136
"223592_s_at","84282","RNF135",0.000304524631467155,1.0564547872586,0.664230078362489,1.44867949615471,6.43767478241162,1.23226521288833,5.27924767629903
"206358_at","5619","PRM1",0.000328597685478338,-0.359405502528981,-0.494425037435927,-0.224385967622035,4.77400808638622,0.184536457046898,-5.21728048791082
"219778_at","23414","ZFPM2",0.000330702203648088,0.580848788980376,0.362421925031905,0.799275652928846,7.604774850383,0.940073825102381,5.21210443542381
"235919_at","84131","CEP78",0.000333129353440263,0.869635627118395,0.542238995146979,1.19703225908981,6.80612153535305,1.36098319700097,5.20618009687061
"41644_at","23328","SASH1",0.000335899672677874,0.579080769204052,0.360789884561788,0.797371653846316,10.0980943031568,0.817011372101732,5.19947642110655
"239763_at","56981","PRDM11",0.000341282225731897,0.538211453783329,0.334824014766782,0.741598892799875,6.32158286521614,0.450327907148161,5.18662536150772
"215009_s_at","100499177","THAP9-AS1",0.000357449297794389,-0.925412591535313,-1.27765371535977,-0.573171467710857,6.39395071122098,1.35951503804852,-5.14933821387972
"214229_at","8632","DNAH17",0.000358449748024927,-0.920323864836751,-1.27078089178763,-0.569866837885873,5.71625056974511,0.569523284559051,-5.14709261439025
"221710_x_at","55194","EVA1B",0.000378231506264258,0.621899010874102,0.383085104041533,0.860712917706671,6.04644373847263,0.56031336642131,5.10406649880662
"209684_at","54453","RIN2",0.00037954980261014,0.804165594429793,0.495191773171005,1.11313941568858,8.52134013845562,0.737139441449923,5.10128838314183
